"content","pos","meaning","examples","collocations","mode"
"congregate","v.","聚集；集合","At that time, hundreds of seals **congregate** in South Georgia...","","recognition"
"volcanic floodplain","n.","火山沖積平原","The rich soil of the **volcanic floodplain** makes it ideal for agriculture.","** volcanic (火山的) + flood (洪水) + plain (平原)","recognition"
"land degradation","n.","土地退化；土壤貧瘤化","Overgrazing and deforestation are major causes of **land degradation**.","** environmental degradation (環境惡化)","recognition"
"Wireless Fidelity","n.","無線相容性 (Wi-Fi 全稱)","Wi-Fi is a technology for **Wireless Fidelity**, allowing devices to connect to the internet.","** 通稱為 Wi-Fi","recognition"
"botanical","adj.","botanical [adj.]","We visited the **botanical** gardens to see rare flowers.","","recognition"
"carbon emissions","","碳排放","","** 常用搭配 reduce|cut carbon emissions","production"
"unforgiving winds","","無情的風","","","production"
"medium","","媒介","","** 複數形為 media","production"
"precision instruments","","精密儀器","","** precision (精確|精密)","production"
"metamorphosis","n.","變態 (生物)；徹底的變化","The caterpillar goes through **metamorphosis** to become a butterfly.","** undergo metamorphosis","recognition"
"topography","n.","地形；地勢；地形學","The map shows the **topography** of the island accurately.","","recognition"
"tallest building","","最高的建築物 (形容詞區分)","","","production"
"sustainable energy solutions","","永續能源解決方案","","** sustainable (永續的)；solution (解決方案)","production"
"nestled","adj./v.","座落於；依偎在 (隱蔽而舒適的地方)","**Nestled** in the Black Hills of Keystone... Mount Rushmore is one of the most fascinating monuments...","** Be nestled in|among...","recognition"
"beaches","","海灘","","","production"
"terrestrial","adj.","陸地的；陸生的；地球的","The show focuses on **terrestrial** life forms, not marine ones.","","recognition"
"mitochondria","n.","粒線體 (單數: mitochondrion)","**Mitochondria** generate most of the cell's supply of adenosine triphosphate (ATP).","","recognition"
"snail","n.","蝸牛","A **snail** moves very slowly by crawling on its foot.","** at a snail's pace (慢吞吞地)","recognition"
"treetop","n.","樹梢；樹頂","Monkeys jumped from **treetop** to **treetop** in the jungle.","**  canopy (樹冠層)","recognition"
"hatch out","","孵化；破殼而出","The chicks began to **hatch out** of their eggs this morning.","** 亦可比喻計畫或想法的產生 (hatch a plan)","recognition"
"erode","v.","侵蝕；腐蝕；削弱","Wind and rain can **erode** the soil over time.","** erode confidence|profits","recognition"
"With breakthroughs in space technology, …","","隨著太空技術的突破","","** breakthrough (突破)","production"
"photosynthetic","adj.","光合作用的","Green plants contain **photosynthetic** pigments that capture sunlight for energy.","","recognition"
"get close to nature / connect with nature","","親近大自然","","** nature 前通常「不加」the","production"
"be situated in / be located in","","位於...","","","production"
"pounded-up","adj.","搗爛的；磨碎的","She applied a paste made of **pounded-up** herbs to the wound.","","recognition"
"nodule","n.","小結節；（礦物）球塊","The mineral **nodule** found on the ocean floor contains valuable elements.","** manganese nodules (錳結核)","recognition"
"lagoon","n.","潟湖","The island is surrounded by a crystal-clear **lagoon** and coral reefs.","** 常見於地理考題，指環礁內的淺海水域","recognition"
"cassette","n.","卡帶","I remember using a pencil to wind up the loose tape in a **cassette**.","** cassette tape (錄音帶)","recognition"
"ecosystem","","生態系統 (注意：可數)","","** a fragile ecosystem (脆弱的生態系統)","production"
"refrigerant","n.","冷媒；製冷劑","The leak of **refrigerant** caused the air conditioner to stop working.","","recognition"
"lever","n.","槓桿；操縱桿","Pull the **lever** to open the emergency exit in case of a fire.","** 物理上的槓桿或機械的控制桿。|** leverage (利用；槓桿作用)","recognition"
"solar power","","太陽能","","** renewable energy (再生能源)","production"
"prototype","n.","原型；雛形","Engineers are testing a working **prototype** of the new electric car.","** a prototype of|for... (...的原型)","recognition"
"subsidence","n.","(地層) 下陷；沈沒","Groundwater extraction caused severe land **subsidence**.","","recognition"
"endure disasters","","忍受/遭遇災難","","","recognition"
"runoff","n.","徑流；流失的雨水","Agricultural **runoff** can lead to the pollution of nearby rivers.","** 指雨水未被土地吸收而流走的現象。","recognition"
"shore vs. coast","","岸邊 vs. 海岸","","** shore 指水陸交界處 (玩水的地方)；coast 指地理上的沿海大地區","production"
"hind legs","n.","(動物的) 後腿","The rabbit stood up on its **hind legs** to get a better look.","** 相對於 forelegs (前腿)","recognition"
"spore","n.","孢子","Fungi reproduce by releasing millions of tiny **spores** into the air.","","recognition"
"amphibians","n.","兩棲動物\n用法: amphibian (adj. 水陸兩用的)","Frogs and toads are **amphibians**.","","recognition"
"deforestation","","濫墾濫伐","","** de- (除去) + forest (森林)|**  owing to deforestation","production"
"fall idle","","閒置；停止運轉","When the wind doesn't blow or the sun doesn't shine, wind and solar power plants **fall idle**.","** idle 指機器或人處於「空閒、無產出」的狀態。","recognition"
"Flora","n.","Flora [n.]","The book describes the local **flora** and fauna.","** Flora and Fauna (動植物總稱)","recognition"
"owing to deforestation","","由於濫墾濫伐 (d...)","","** owing to = due to|because of (後接名詞)","production"
"on (Easter) Island","","在島嶼上 (例如：復活節島)","","** 島嶼的介係詞固定用 on","production"
"residue","n.","殘留物；剩餘物","Pesticide **residue** was found on the surface of the imported fruit.","** pesticide residue (農藥殘留)|sticky residue (黏性殘留物)","recognition"
"disperse","v.","驅散；散開；傳播","...convection is less efficient at **dispersing** heat from urban land...","** disperse the crowd|disperse heat","recognition"
"meteorologist","n.","氣象學家","The **meteorologist** predicted a heavy storm for the weekend.","","recognition"
"udder","n.","(牛、羊等的) 乳房","The farmer cleaned the cow's **udder** before milking.","","recognition"
"domain","n.","領域；領土","This topic falls within the **domain** of physics.","** public domain (公有領域)","recognition"
"engineering feat","","工程壯舉","","","production"
"horned","adj.","有角的","The **horned** owl is known for the tufts of feathers that look like ears.","** horn (角) + -ed (具有...特徵的)","recognition"
"the threat of disappearance","","（物種）消失的威脅","","** disappearance (消失)","production"
"disaster prevention system","","防災系統","","** prevent (預防) -> prevention (名詞)","production"
"irrigation","n.","灌溉","Farmers rely on **irrigation** systems to water their crops during dry seasons.","","recognition"
"environmental disasters","","環境災難","","** 如 flood, earthquake 等\","production"
"科技進步","","科技進步","","","production"
"the way we access information","","我們獲取、接觸資訊的方式","","** the way (that|in which) + S + V","production"
"pouring rain","","傾盆大雨","","","production"
"puff up","","膨脹；腫脹；(因驕傲)趾高氣昂","The bird **puffed up** its feathers to keep warm.|He tends to **puff up** with pride when he talks about his achievements.","** puff up (使膨脹|自滿)","recognition"
"incinerator","n.","焚化爐","Waste materials are burned at high temperatures in an **incinerator**.","","recognition"
"sand dunes","n.","沙丘","Coastal plants help stabilize the **sand dunes** against strong winds.","** 常見於地理或環境描述。","recognition"
"dew-like","adj.","如露水般的","The spider web was covered in **dew-like** drops of water.","","recognition"
"archipelago","","群島","","","production"
"astrologist vs. astronomer","","占星家 vs. 天文學家","","** astronomer (天文學家) 是學測常考單字","production"
"thermogenesis","n.","產熱作用 (生物體產生熱量)","Brown fat is involved in **thermogenesis** to keep the body warm.","","recognition"
"pristine","adj.","原始的；清新的；未受污染的","...a multitude of sylvan lakes and **pristine** streams...","** pristine condition|beaches","recognition"
"subscribe to","","訂閱","","","production"
"treasure trove","","寶庫；豐富的蘊藏處","Indeed, 'it is a **treasure trove** of flora,' with over 150 different species of trees...","** a treasure trove of information|knowledge","recognition"
"global climate change","","全球氣候變遷 (注意單數)","","** 指大範圍的現象，習慣用單數","production"
"nocturnal","adj.","夜行性的","Like most Asiatic black bears, they are **nocturnal**, feeding at night...","","recognition"
"biotechnology","","生物技術","","** 簡稱 biotech","production"
"polyphenols","n. pl.","多酚","Green tea is rich in **polyphenols**, which have antioxidant properties.","","recognition"
"legally cleared forest","","合法砍伐的森林","","","production"
"black holes","","黑洞","","** 科普文章常見術語","production"
"tournament","","錦標賽 (注意拼字: tou...)","","","production"
"human history","","人類歷史","","** 習慣用法，通常不加冠詞","production"
"house","","館藏有... (動詞)","","","production"
"coin","v.","創造（新詞語/新詞彙）","The term ""crowdsourcing"" was **coined** by journalist Jeff Howe.","** coin a term|phrase","recognition"
"Belgium","","比利時","","","production"
"respect different cultural characteristics","","尊重不同的文化特徵","","** characteristic (特徵)","production"
"jump on the bandwagon","","趕時髦；順應潮流","","** jump on the + bandwagon","production"
"blockbuster","","賣座鉅片 (票房大賣的電影)","","","production"
"release","","發行；上映 (電影/專輯)","","","production"
"the true essence of the proverb, …","","這句諺語的真諦","","** essence (精髓|真諦)","production"
"graffiti","n.","塗鴉","The walls of the subway station were covered in **graffiti**.","","recognition"
"ballerina","n.","芭蕾舞女演員","She has dreamed of being a **ballerina** since she was five.","** 專指女性芭蕾舞者。","recognition"
"the National Palace Museum","","國立故宮博物院","","","production"
"multicultural influences","","多文化的影響","","","production"
"bishop","","主教","","","production"
"the course of history","","歷史的進程","This invention changed **the course of history** forever.","","recognition"
"Icelandic","adj.","冰島的 / 冰島","**Icelandic** horses are known for their small size and strength.","","recognition"
"trends","","流行趨勢 (注意有 s)","","** 常用複數形|**  trendy clothes","production"
"semi-finals","","準決賽；四強賽","","","production"
"feudal Europe","n. phr.","封建時代的歐洲","Land ownership was the basis of power in **feudal Europe**.","** feudal system (封建制度)；指中世紀的社會結構","recognition"
"historic center","","歷史中心 (舊城區)","","** historic (具歷史意義的)","production"
"monastic","adj.","修道院的；隱修的","He chose to lead a **monastic** life, spent in prayer and silence.","** monastery (修道院)；monk (僧侶|修士)","recognition"
"Versailles![EX34ex.mp3](SnhqY6Gg.mp3)","EX34ex.mp3","凡爾賽宮","The Palace of **Versailles** is a famous symbol of French royal power.","** 位於法國巴黎郊外的著名宮殿","recognition"
"amphitheater","n.","圓形劇場；競技場","The ruins of the Roman **amphitheater** are still used for concerts today.","** amphi- (雙向|四周) + theater (劇場)","recognition"
"symbolize","","象徵","","","production"
"stone statues","","石像","","** statue (雕像)","production"
"the salvation of the soul","","靈魂的救贖","","** salvation (救贖)","production"
"excerpt","n.","摘錄；節錄","The teacher read a short **excerpt** from the novel.","** an excerpt from...","recognition"
"on display / on exhibition","","展出中","","** be on display (固定搭配，不加 the)|**  a collection of paintings","production"
"celebrity","","名人 (注意拼字與複數)","","","production"
"hymn","n.","聖歌；讚美詩","The congregation sang a **hymn** during the Sunday service.","** a Christmas hymn","recognition"
"carve Jack-o'-lanterns","","雕刻南瓜燈","","","production"
"heritage","","文化遺產 (抽象觀念)","","** 指抽象遺產；若指具體地點則用 heritage sites 或 landmarks","production"
"bonsai","n.","盆栽 (藝術)","Growing **bonsai** requires patience and skill.","","recognition"
"The arrival of the New Year","","新年的到來","","** arrival (到達|到來)","production"
"busker","n.","街頭藝人","A talented **busker** was playing the violin at the entrance of the subway station.","** busk (v. 街頭表演)","recognition"
"establish a colony","","建立殖民地","","** establish (建立)；colony (殖民地)","production"
"trick or treat","","不給糖就搗蛋","","","production"
"have a tale to tell","","有故事要說；經歷過滄桑","Every old building in this city seems to **have a tale to tell**.","** 指某人或某物有精彩或重要的經歷","recognition"
"tapestry","n.","掛毯；織錦","The sage asked him if he had seen the Persian **tapestries** hanging in the dining room...","","recognition"
"Stonehenge","n.","巨石陣","**Stonehenge** is one of the most famous prehistoric monuments in the world.","","recognition"
"Legend has it that...","","傳說... (句型)","","","production"
"put up","","建造；設立；張貼","A new statue was **put up** in the town square.","","recognition"
"appreciation of art","","對藝術的鑑賞力","","** appreciation (鑑賞|欣賞|感激)","production"
"conduit","n.","管道；溝通渠道","Used as **conduits** between the gods and chiefs, the Moai were key components...","","recognition"
"dystopia","n.","反烏托邦 (極權/環境惡劣的社會)","...lived on the edge of society in generally **dystopic** futures...","","recognition"
"stage a theatrical performance","","上演一場戲劇表演","","** stage (v.) 策劃|上演；theatrical (adj.) 戲劇的","production"
"make altars for...","","為...建立祭壇 (崇拜)","","","production"
"""Helping others is the source of happiness.""","","助人為快樂之本 (諺語)","","** 學測作文萬用格言","production"
"depict","v.","描繪；描寫","The movie **depicts** the life of a famous artist.","** depict sb. as...","recognition"
"artistic treasures","","藝術瑰寶","","** treasure (瑰寶|寶藏)","production"
"As the saying goes","","俗話說...","","","production"
"joust","v./n.","（馬上）長矛比武；激烈競爭","The knights mounted their horses to **joust** in the tournament.","","recognition"
"There is no accounting for tastes","","人各有所好；審美觀見仁見智","'Oh well,' said Sandy, '**there is no accounting for tastes**, I suppose.'","","recognition"
"bandmaster","n.","樂隊指揮","The **bandmaster** raised his baton to signal the start of the performance.","** 指揮樂隊的人","recognition"
"envelope","","信封；紅包袋","","","production"
"ferment","n.","騷動；動亂；(思想) 激盪","...normally marked by extraordinary cultural **ferment**...","","recognition"
"swing at","","揮打；試圖攻擊","The batter tried to **swing at** the curveball but missed.","** swing at sb.|sth. (對...揮拳|揮擊)","recognition"
"comic strip","n.","連環漫畫","I used to read the **comic strips** in the newspaper every Sunday morning.","** 常指報刊上連載的短篇漫畫","recognition"
"Confucius","n.","孔子","**Confucius** was a Chinese philosopher whose teachings influenced East Asia for centuries.","** Confucianism (儒家思想)","recognition"
"historical","adj.","與歷史有關的（背景/研究）","","","recognition"
"schoolhouse","n.","校舍","The old one-room **schoolhouse** has been converted into a museum.","","recognition"
"ethical","adj.","倫理的；道德的","Is it **ethical** to test cosmetics on animals?","** ethical standards","recognition"
"Honesty is the best policy.","","誠實為上策","","** 經典格言，Policy 在此指「處世原則」","production"
"be regarded as a traditional virtue/merit","","被視為一種傳統美德","","** regard A as B (將 A 視為 B) 的被動式|**  filial piety","production"
"aesthetic","adj.","美學的；審美的","The building has a unique **aesthetic** appeal that attracts tourists.","** aesthetic value (美學價值)","recognition"
"historic","adj.","歷史上著名的（重要時刻）","","**  historic center","recognition"
"see a backlash","","遭遇強烈抵制/反彈","The politician started to **see a backlash** from voters after the scandal.","** backlash against... (對...的強烈反彈)","recognition"
"NEETs and Freeters","","尼特族與飛特族","","","production"
"conspire against","","密謀對抗；圖謀","The rebels **conspired against** the dictator to overthrow the government.","** conspire (v.) + against sb.","recognition"
"the international community","","國際社會","","** 常用於外交或全球議題","production"
"unconditional support","U.","無條件的支持","","","recognition"
"raise money for","","為...募款/籌款","They are trying to **raise money for** the new hospital wing.","","recognition"
"homogeneous","adj.","同質的；由相同事物組成的","If not, we run the risk of shaping a much more **homogeneous** community...","","recognition"
"conformity","n.","遵從；一致；墨守成規","Jane Austen broke the traditional mold of feminine **conformity**.","** social conformity (社會從眾性)","recognition"
"express appreciation for","","表達對...的感激","","","production"
"set a good example for sb.","","樹立一個好榜樣","","** set|provide an example (樹立榜樣)","production"
"minorities","","弱勢族群","","** 指人數較少或處於不利地位的族群","production"
"make friends with sb.","","與...交朋友","","","production"
"volunteer","","志工 (注意拼字: vol-un...)","","","production"
"collaborate with","","與...合作","","","production"
"解決衝突/問題","","解決衝突/問題","","","production"
"match one's wits against","","與...鬥智鬥勇；較量","Professionals have successfully **matched their wits against** waves all around the world.","** match wits with|against sb.","recognition"
"shape one's image","","塑造形象","","** shape|build|cultivate + one's image|reputation|brand","production"
"be named after","","以...命名","","","production"
"raise eyebrows","","令人驚訝；引起非議/不滿","...her way of dressing and behaving **raises eyebrows** once again.","","recognition"
"chronically late","adj. phr.","慣性遲到","He is **chronically late** for every meeting, which annoys his boss.","** chronically 有「慢性的」或「慣性的|長期的」兩種意思","recognition"
"preschool","","學齡前的","","** pre- (在...之前) + school","production"
"contact","","聯絡","","","production"
"dress formally","","穿著正式","","","production"
"divide","","鴻溝","","** 如 digital divide (數位落差)","production"
"filial piety","","孝順 (名詞)","","** piety 是「虔誠」，filial 是「子女的」|**  be regarded as a traditional virtue","production"
"aristocracy","n.","貴族階層；貴族統治","In the past, the **aristocracy** held most of the political power and wealth.","** aristocrat (貴族成員)；貴族統治 (rule by the best)","recognition"
"drop in on","","順道拜訪","I decided to **drop in on** my grandmother on my way home.","** drop in on + sb.|drop in at + place","recognition"
"產生共鳴","","產生共鳴","","","production"
"參加；參與","","partake in / participate in","","","production"
"personas","n.","人格面具；偽裝的外表","Many celebrities adopt different **personas** when they are on stage.","** persona 的複數形","recognition"
"peer recognition","","同儕認同","","** recognition (認同|承認)","production"
"improves our social life","","改善社交生活","","** social life (社交生活)","production"
"coexist","","共存","","** coexist with... (與...共存)","production"
"pay tribute to","phr.","向...致敬；悼念","The concert was organized to **pay tribute to** the legendary singer.","** pay tribute to sb.|sth. (表示敬意)","recognition"
"interact face-to-face","","面對面互動","","** interact with sb. (與某人互動)","production"
"引發激烈辯論","","引發激烈辯論","","","production"
"laureate","n.","得獎者；桂冠詩人；榮譽獲得者","Albert was a Nobel **laureate** in Physics.","** Nobel laureate (諾貝爾獎得主)","recognition"
"mankind / humankind / humanity","","人類 (群體概念：不可數)","","** 泛指整個人類全體","production"
"foster relations","","培養、促進關係","","","production"
"beat the button","","(快速)按下按鈕；搶按","Contestants must **beat the button** to answer the question first.","** beat usually implies speed or winning against time","recognition"
"Social Classes (High Density)","","社會各階層 (上流/中上/中產/勞工/底層)","","","production"
"dial","vt.","撥打電話給...","I need to **dial** the president immediately to discuss the crisis.","** dial a number|dial sb.","recognition"
"consensus","n.","共識；一致的意見","The committee reached a **consensus** on the new policy.","","recognition"
"a time for (family) reunion","","團聚的時刻 (通常指家庭)","","** reunion (團聚|重聚)","production"
"reach out to","","向...伸出援手；與...聯繫 (尋求幫助或合作)","Don't hesitate to **reach out to** me if you need any help.","** reach out to sb.","recognition"
"serving others","","服務他人","","** serve (服務)","production"
"widen the wealth gap","","擴大貧富差距","","** widen (擴大)；wealth gap (貧富差距)","production"
"cause a sensation","","引起轟動","","","production"
"cooperation","","合作/配合","","**","production"
"status quo","","現狀","","","production"
"introduce sb. to sb.","","介紹某人給某人","","","production"
"foster","v.","培養；促進","The aim is to **foster** friendly relations among young mathematicians.","","recognition"
"keeps us connected with sb.","","讓我們與他人保持聯繫","","** keep + 受詞 + 形容詞 (connected)","production"
"intimidate sb. into silence","","恐嚇某人使其保持沉默","The corrupt official tried to **intimidate the witness into silence**.","** intimidate (v. 威脅) + sb. + into + V-ing|N.","recognition"
"exchange activities","","交流活動","","** 如 cultural exchange activities","production"
"hype","n./U.","大肆宣傳；炒作","The media **hype** surrounding the new phone release was intense.","** media hype (媒體炒作)","recognition"
"make out","","親熱；接吻","","","production"
"the society of the future","","未來社會","","** 指稱特定時空的社會，需加 the","production"
"in protest against","","抗議","","","production"
"pay attention to personality development","","重視人格發展","","** pay attention to，介系詞固定用 **to**","production"
"acquiescence","n.","默許；順從","But **acquiescence** to European-American customs did not appease the nearby settlers...","","recognition"
"convey a message","","傳達訊息","","** convey|deliver|communicate + a message|meaning|idea","production"
"make a charitable donation","","做慈善捐贈","","** donation [C] 捐贈物|金；charitable (慈善的)","production"
"stratify","v.","使分層；使階層化","...worry that the advances may **stratify** societies...","** 形成社會階級 (divide into classes)","recognition"
"back out of","v.","退出（協議、承諾）","They **backed out of** the deal at the last minute due to a conflict of interest.","** back out of an agreement|promise","recognition"
"imitate","","模仿","","","production"
"an appearance-focused society","","重視外表的社會","","** focused (以...為焦點|重視...)","production"
"raise awareness","","喚起意識","","","production"
"discrimination against","","歧視","","","production"
"officiate at","v. phr.","主持（儀式）；執行職務","The local mayor will **officiate at** the opening ceremony of the new library.","** officiate at + ceremony|wedding|funeral","recognition"
"poses a threat to","","對...構成威脅","","** pose a threat|danger|risk to","production"
"draw attention to","","引起對⋯的關注","","** draw|attract|call + attention to + N.","production"
"in honor of","","向...致敬；紀念","","","production"
"those around us","","周遭的人","","** 指身邊的人，比 people around us 更自然","production"
"be inclusive of","","包容...；包含...","","** inclusive (包容的|包括的)","production"
"for companionship, recreation, and entertainment","","為了作伴；為了消遣","","** keep pets for **companionship** (不可數名詞，指抽象的伴侶關係)","production"
"look out for","","當心；注意；照顧；留心尋找","1. When hiking in the mountains, you should **look out for** falling rocks.|2. People in my neighborhood **look out for** each other.","** look out for + N. (注意潛在危險|尋找某物|照顧他人)","recognition"
"play down","v.","淡化；輕描淡寫","The CEO tried to **play down** the severity of the financial loss during the meeting.","** play down the importance|seriousness","recognition"
"upheaval","n.","動盪；劇變","The country went through a period of social **upheaval** during the revolution.","** political|social upheaval (政治|社會動盪)","recognition"
"a multicultural society","","多元文化社會","","** multi- (多個) + cultural","production"
"teeming with competition","","充滿競爭 (抽象概念)","","** 抽象環境用 teeming with；實體空間用 packed with","production"
"panel","n.","專家小組；面板","A **panel** of experts will discuss the issue tomorrow.","** solar panel (太陽能板)","recognition"
"as a member of...","","做為...的一分子","","","production"
"ethnic group","","族群","","","production"
"society","","社會 (泛指)","","","production"
"blurt out","v. phr.","脫口而出","He **blurted out** the secret before he could stop himself.","** blurt out + sth. (不經思考地說出某事)","recognition"
"emotional connections","","情感連結","","** connect (連接) -> connection (名詞)","production"
"引發爭議","","引發爭議","","","production"
"reiterate one's stance","","重申立場","","","production"
"proponent","n.","提倡者；擁護者","She is a strong **proponent** of renewable energy.","","recognition"
"emulate","v.","模仿(並試圖超越)；效法","Young players often try to **emulate** their sporting heroes.","** emulate success","recognition"
"in response to","","作為對...的回應","","","production"
"beat sb.","","擊敗某人 (比賽/競爭)","","","production"
"seek common ground","","尋求共識","","","production"
"citizen vs. civilian","","公民 vs. 平民","","** citizen (公民|國民)；civilian (平民|非軍警人員)","production"
"get across","v.","表達清楚；使人理解","The speaker struggled to **get** his complex ideas **across** to the audience.","** get the point|message across","recognition"
"look down on","v.","輕視；瞧不起","It is wrong to **look down on** people who have less education than you.","","recognition"
"have shared interests in...","","在...方面有共同興趣","","","production"
"diversity","","多元性","","** 如 cultural|biological diversity","production"
"pass off","","冒充；假裝是...","","","production"
"tone down","v. phr.","（使）緩和；（使）轉淡","The politician was asked to **tone down** his aggressive rhetoric during the debate.","** tone down + sth. (如言論、顏色、態度)","recognition"
"clarify","","澄清；闡明","","","production"
"hierarchy","n.","階級制度；等級制度","There is a strict **hierarchy** within the military.","** social hierarchy","recognition"
"break the deadlock","","打破僵局","","** break|end + the deadlock|impasse|stalemate","production"
"rational discourse","n.","理性探討；理性論述","In a democracy, **rational discourse** is essential for solving conflicts.","** engage in rational discourse (參與理性討論)","recognition"
"proclaim","","proclaim: 宣告；公佈","The king **proclaimed** victory, while farmers tried to **reclaim** the land.","","recognition"
"humans / human beings","","人類 (可數複數)","","** 指「一個個」的人","production"
"monger","n.","商人；煽動者","He was labeled a rumor-**monger** for spreading unverified stories.","** fishmonger (魚販)|warmonger (好戰者)","recognition"
"bequeath","v.","遺贈；把...傳下去","His grandmother **bequeathed** her ring to him.","** bequeath sb. sth. 或 bequeath sth. to sb.","recognition"
"mediate","v.","調解；斡旋","Negotiators are trying to **mediate** a settlement between the two sides.","** mediate a dispute","recognition"
"make one's acquaintance","","結識某人","","","production"
"frowned upon","","不被贊同的；令人不悅的","...original thinking (was) **frowned upon** and creativity discouraged among women.","** be frowned upon (by society)","recognition"
"establish trust","","建立信任","","** establish|build|develop|foster + trust|rapport|a relationship","production"
"controversy","n.","controversy [n.]","The new law caused a huge **controversy** among the public.","","recognition"
"boss sb. around","v. phr.","對某人頤指氣使；發號施令","Stop trying to **boss** me **around**; I'm not your servant!","** boss (v.) 指揮；作風霸道","recognition"
"competition","","競爭 (不可數)","","** 指競爭的狀態 (若指競賽則為可數)|**  teeming with competition","production"
"clear up misunderstandings","","釐清誤解","","** clear up|resolve|address + misunderstandings|confusion|issues\n**同義:** set the record straight,  clarify","production"
"conveyed in","","由...傳達的","","** convey (傳達|表達)","production"
"falling-out / falling out","","鬧翻；爭執","","","production"
"post updates about sth.","","更新近況","","** 常指在社群媒體上發布消息","production"
"urge sb. to + VR","","力勸某人做某事","","","production"
"flocks of people","","大批的人群","","","production"
"achieve educational equity","","達成教育平權","","** equity (公平|公正)","production"
"lively","","熱鬧的","","","production"
"deliver a message","","傳遞訊息","","","production"
"flock to","","蜂擁而至；聚集","Surfers **flock to** the local seashore by the thousands.","** flock (n.) 一群(羊|鳥); flock (v.) 聚集","recognition"
"assimilate","v.","同化；吸收(知識/營養)","It takes time for immigrants to **assimilate** into a new culture.","** assimilate into society","recognition"
"grooming policy","","服裝儀容規定","","","production"
"the global population","","全球人口 (注意冠詞)","","** 需加定冠詞 the","production"
"for people in Taiwan","","對台灣人而言","","** 用來引出特定地區的人群觀點","production"
"引發討論","","引發討論","","","production"
"seamlessly","","無縫地；順暢地","","** integrate|blend seamlessly with...","production"
"be more likely to","","更有可能...","","** be more likely to + VR","production"
"針對；導向；為...調整","","gear toward","","","production"
"integral","adj.","不可或缺的；完整的","Trust is an **integral** part of any relationship.","** be integral to...","recognition"
"obscurity","n.","默默無聞；模糊；晦澀","After spending many years in **obscurity**, Leblanc finally gained literary fame...","","recognition"
"pertinent","","相關的；切題的","","","production"
"regardless of","","不管；無論","","","production"
"make it easy/difficult for people to V.","","讓（某人）無法/能夠（做某事）","","** 虛受詞 it 的進階句型","production"
"從事（工作/活動）","","engage in","","","production"
"chances are (good) that...","","很有可能...","","","production"
"have an advantage over","","優於...；比...有優勢","","** 介系詞用 over 後接比較對象","production"
"inevitable","adj.","不可避免的；必然的","","","recognition"
"in its own right","","憑藉自身的能力/資格","She is a successful entrepreneur **in her own right**, not just because of her family.","** be|stand ... in its own right","recognition"
"far-reaching impact","","深遠的影響","","** far-reaching|profound|lasting + impact|effect|influence","production"
"It is inevitable that...","","難以避免 (句型訂正)","","","production"
"discrete","adj.","獨立的；不連續的","The data is organized into **discrete** categories.","** discrete units","recognition"
"be entitled to","","被賦予、能夠...","","","production"
"be covered with/in ...","","覆蓋著...","","** 指表面被某物佈滿的狀態","production"
"blur the boundary between","","模糊...之間的界線","","** blur (使模糊)；boundary (界線)","production"
"concise","adj.","簡潔的；簡明的","Please keep your summary **concise** and to the point.","","recognition"
"Among them","","其中 (群體中)","","","production"
"oblivion","n.","遺忘；無意識狀態；湮沒","He drank himself into **oblivion** to forget his troubles.","** fade|sink into oblivion (逐漸被遺忘)","recognition"
"haphazardly","adv.","雜亂無章地；隨意地","Books were piled **haphazardly** on the floor.","","recognition"
"consist of","","由...組成","","","production"
"feature","","以...為特色","","","production"
"elusive","adj.","難以發現的；難以捉摸的","The 16-day adventure takes travelers... in search of the **elusive** cats (snow leopards).","** 形容動物難以追蹤，或概念難以理解|定義","recognition"
"looming","adj.","looming [adj.]","In order to avert what appears to be a **looming** crisis...","** a looming deadline|danger","recognition"
"aptly","adv.","適當地；貼切地","The hotel was **aptly** named ""The Grand View"" because the scenery was amazing.","","recognition"
"wildcard","n.","不確定因素；萬用字元","His unpredictable temper makes him a **wildcard** in the upcoming negotiations.","** 指可能影響局勢但難以預測的人事物。","recognition"
"outstanding / excellent","","優秀的 (描述成績)","","** 描述學業成績 (grades)時，這兩個詞比 good 更正式","production"
"cumbersome","adj.","笨重的；累贅的；難處理的","The old system was **cumbersome** and inefficient to use.","** cumbersome procedure","recognition"
"rely entirely on","","完全依賴","","** rely on (依賴)；entirely (完全地)","production"
"異常；反常事物","","anomaly","","","production"
"flexibility in","","在...方面的靈活性","","** flexibility (靈活性)；介係詞用 in","production"
"equivalent","adj.","相等的；等值的","One dollar is roughly **equivalent** to 30 Taiwan dollars.","** be equivalent to...","recognition"
"uniqueness","","獨特性","","** unique (獨特的) -> uniqueness (名詞)","production"
"within one's grasp","","在某人掌握之中 (手到擒來)","","","production"
"conducive","adj.","conducive [adj.]","A quiet environment is **conducive** to studying.","** be conducive to + N.|V-ing (to 是介系詞)","recognition"
"have/exert an influence/impact on...","","對...產生影響","","** exert (施加)；influence (影響)","production"
"be endowed with","","天生具有...；被賦予...","","","production"
"adapt to changes","","適應變化","","** adapt to + N. (變化|環境|情況)","production"
"existence","","存在","","","production"
"tarnished","adj.","失去光澤的；(名聲)受損的","...she had restored both dignity and popularity to a **tarnished** crown...","","recognition"
"discrepancy","n.","差異；不一致","There is a **discrepancy** between the two reports.","** discrepancy in|between...","recognition"
"be operational","","正在運作中","","","production"
"backgrounds","","背景 (可數)","","** 如 family|educational backgrounds","production"
"at will","","隨意地","","","production"
